epoch,train_loss,val_loss,map50,precision,recall,lr
76,0.15,0.18,0.859665,0.9396,0.8897,0.00773781
77,0.15,0.18,0.860527,0.9406,0.8905,0.00773781
78,0.15,0.18,0.86222,0.9424,0.8923,0.00773781
79,0.15,0.18,0.858977,0.9389,0.8889,0.00773781
80,0.15,0.18,0.862894,0.9432,0.893,0.00773781
81,0.15,0.18,0.859333,0.9393,0.8893,0.00773781
82,0.15,0.246098,0.85737,0.9371,0.8873,0.00773781
83,0.15,0.18,0.865062,0.9455,0.8952,0.00773781
84,0.15,0.18,0.860548,0.9406,0.8906,0.00773781
85,0.15,0.18,0.865231,0.9457,0.8954,0.00773781
86,0.15,0.18,0.861598,0.9417,0.8917,0.00773781
87,0.15,0.21571,0.866054,0.9466,0.8963,0.00773781
88,0.15,0.18,0.865624,0.9461,0.8958,0.00773781
89,0.15,0.18,0.860425,0.9405,0.8904,0.00773781
90,0.15,0.228125,0.86663,0.9472,0.8969,0.00773781
91,0.15,0.18,0.857025,0.9367,0.8869,0.00735092
92,0.15,0.415873,0.858978,0.9389,0.8889,0.00735092
93,0.15,0.213149,0.862488,0.9427,0.8926,0.00735092
94,0.15,0.18,0.858164,0.938,0.8881,0.00735092
95,0.15,0.190618,0.863002,0.9433,0.8931,0.00735092
96,0.154643,0.342508,0.865502,0.946,0.8957,0.00735092
97,0.15,0.22416,0.863213,0.9435,0.8933,0.00735092
98,0.15,0.440672,0.864131,0.9445,0.8943,0.00735092
99,0.242548,0.328489,0.861634,0.9418,0.8917,0.00735092
100,0.301066,0.312116,0.866076,0.9466,0.8963,0.00735092
